2015-09-22 11:37:19,500 [main] WARN  marytts.TextToMaryXML Locale is null, overriding with en_US
2015-09-22 11:37:19,500 [main] WARN  marytts.TextToMaryXML Locale is null, overriding with en_US
2015-09-22 11:37:19,500 [main] INFO  marytts.TextToMaryXML Power-on self test complete.
2015-09-22 11:37:19,723 [main] INFO  marytts.SableParser Module started (SABLE->RAWMARYXML, locale null).
2015-09-22 11:37:19,723 [main] INFO  marytts.SableParser Starting power-on self test.
2015-09-22 11:37:19,724 [main] INFO  marytts.SableParser Power-on self test complete.
2015-09-22 11:37:19,762 [main] INFO  marytts.SSMLParser Module started (SSML->RAWMARYXML, locale null).
2015-09-22 11:37:19,762 [main] INFO  marytts.SSMLParser Starting power-on self test.
2015-09-22 11:37:19,762 [main] INFO  marytts.SSMLParser Power-on self test complete.
2015-09-22 11:37:19,798 [main] INFO  marytts.APMLParser Module started (APML->RAWMARYXML, locale null).
2015-09-22 11:37:19,799 [main] INFO  marytts.APMLParser Starting power-on self test.
2015-09-22 11:37:19,799 [main] INFO  marytts.APMLParser Power-on self test complete.
2015-09-22 11:37:19,833 [main] INFO  marytts.EmotionmlParser Module started (EMOTIONML->RAWMARYXML, locale null).
2015-09-22 11:37:19,833 [main] INFO  marytts.EmotionmlParser Starting power-on self test.
2015-09-22 11:37:19,833 [main] INFO  marytts.EmotionmlParser Power-on self test complete.
2015-09-22 11:37:19,833 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale null).
2015-09-22 11:37:19,849 [main] INFO  marytts.JTokeniser Starting power-on self test.
2015-09-22 11:37:19,850 [main] INFO  marytts.JTokeniser Power-on self test complete.
2015-09-22 11:37:19,850 [main] INFO  marytts.DummyTokens2Words Module started (TOKENS->WORDS, locale null).
2015-09-22 11:37:19,850 [main] INFO  marytts.DummyTokens2Words Starting power-on self test.
2015-09-22 11:37:19,851 [main] INFO  marytts.DummyTokens2Words Power-on self test complete.
2015-09-22 11:37:19,855 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale null).
2015-09-22 11:37:19,855 [main] INFO  marytts.Prosody Starting power-on self test.
2015-09-22 11:37:19,856 [main] INFO  marytts.Prosody Power-on self test complete.
2015-09-22 11:37:19,856 [main] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale null).
2015-09-22 11:37:19,856 [main] INFO  marytts.PronunciationModel Starting power-on self test.
2015-09-22 11:37:19,856 [main] INFO  marytts.PronunciationModel Power-on self test complete.
2015-09-22 11:37:19,857 [main] INFO  marytts.TargetFeatureLister Starting power-on self test.
2015-09-22 11:37:19,857 [main] INFO  marytts.TargetFeatureLister Power-on self test complete.
2015-09-22 11:37:19,857 [main] INFO  marytts.TargetFeatureLister Module started (ACOUSTPARAMS->HALFPHONE_TARGETFEATURES, locale null).
2015-09-22 11:37:19,857 [main] INFO  marytts.TargetFeatureLister Starting power-on self test.
2015-09-22 11:37:19,857 [main] INFO  marytts.TargetFeatureLister Power-on self test complete.
2015-09-22 11:37:19,857 [main] INFO  marytts.AcousticModeller Module started (ALLOPHONES->ACOUSTPARAMS, locale null).
2015-09-22 11:37:19,857 [main] INFO  marytts.AcousticModeller Starting power-on self test.
2015-09-22 11:37:19,858 [main] INFO  marytts.AcousticModeller Power-on self test complete.
